NAME,TYPE,CODE,SELLING_PRICE,QUANTITY,SALECOUNT,TOTALSALE,COST_PRICE,PROFIT,RETURN_ITEMS
Sony FDRAX53 4K Handycam w/ BOSS,Camera,FDRAX53,1099,32,19,20881,867,4408,8
Nikon Coolpix P900 16MP Digital Camera,Camera,DC-GX850KGNS,798,49,19,15162,685,2147,2
Canon Powershot G9 X Mark II 20.1MP Digital Camera (Silver),Camera,VNA750AC,749,50,31,23219,567,5642,6
Fujifilm Instax Mini 8 Instant Camera and Case (Grape),Camera,G9XIIS,548,31,38,20824,444,3952,12
Nikon D3400 24.2MP Digital SLR Camera w/ 18-55mm Lens Kit,Camera,84933,99,32,10,990,89,100,10
GoPro Hero5 Black 4K Action Video Camera,Camera,791490,549,49,19,10431,410,2641,11
Panasonic Lumix DC-FZ80GN-K 18.1MP Ultra Zoom Digital Camera,Camera,GPCHDHX-501,548,27,18,9864,388,2880,8
Nikon Coolpix B700 20.3MP Ultra Zoom Digital Camera,Camera,DC-FZ80GN-K,598,29,11,6578,525,803,1
"Mackie CR4 4"" Powered Studio Monitors",Audio,M-CR4,196,74,22,4312,142,1188,11
Jaybird Freedom Wireless In-Ear Headphones (Carbon),Audio,F5-S-B-AP-ANZ,249,46,12,2988,191,696,9
AERPRO Multicolour LED 5M Strip Lighting,Audio,SMD5MC,28,23,36,1008,25,108,5
Marley Smile Jamaica In-Ear Headphones (Copper),Audio,EMJE041CP,24.95,35,23,573.85,21,90.85,6
MXL Tempo SK USB Microphone (Silver),Audio,MXL-TEMPO SK,98,43,16,1568,78,320,1
JBL E55BT Over-Ear Wireless Headphones (Black),Audio,3378033,229,54,36,8244,184,1620,2
Novation Launchpad Mini Music Creator,Audio,NOV-LPMIN,141,70,37,5217,102,1443,6
Beats Tour 2 Active In-Ear Headphones (Red),Audio,MKPV2PA/A,169,49,14,2366,148,294,3
Stadium USBMIC1 USB Studio Microphone,Audio,USBMIC1,78,45,30,2340,67,330,4
Rode NTUSB Microphone,Audio,NTUSB,168,45,12,2016,121,564,2
