NAME,TYPE,CODE,SELLING_PRICE,QUANTITY,SALECOUNT,TOTALSALE,COST_PRICE,PROFIT,RETURN_ITEMS
"Mackie CR4 4"" Powered Studio Monitors",Audio,M-CR4,196,74,19,3724,142,1026,4
Jaybird Freedom Wireless In-Ear Headphones (Carbon),Audio,F5-S-B-AP-ANZ,249,50,25,6225,191,1450,5
AERPRO Multicolour LED 5M Strip Lighting,Audio,SMD5MC,28,89,10,280,25,30,1
Marley Smile Jamaica In-Ear Headphones (Copper),Audio,EMJE041CP,24.95,33,25,623.75,21,98.75,5
MXL Tempo SK USB Microphone (Silver),Audio,MXL-TEMPO SK,98,62,18,1764,78,360,3
JBL E55BT Over-Ear Wireless Headphones (Black),Audio,3378033,229,86,18,4122,184,810,2
Novation Launchpad Mini Music Creator,Audio,NOV-LPMIN,141,62,26,3666,102,1014,5
Beats Tour 2 Active In-Ear Headphones (Red),Audio,MKPV2PA/A,169,86,10,1690,148,210,3
Stadium USBMIC1 USB Studio Microphone,Audio,USBMIC1,78,54,19,1482,67,209,3
Rode NTUSB Microphone,Audio,NTUSB,168,55,27,4536,121,1269,2
